Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
0	111.305815935	23657.9163828	0.797785468446	0.798898127152	0.735708367854	0.671201814059
1	227.004650116	11328.0263423	0.84312885082	0.844285714286	0.728503723764	0.813303099017
2	335.981128931	9851.32231978	0.883447993021	0.885815626662	0.809049079755	0.797430083144
3	441.906062126	8779.1090959	0.902776260374	0.905926485821	0.804450438301	0.901738473167
4	548.974098921	7907.83224094	0.915238673119	0.917828168304	0.812080536913	0.914588057445
5	657.003384113	7233.83333537	0.925077891831	0.927346938776	0.816711590296	0.916099773243
6	764.66309309	6616.93001482	0.929850849961	0.935327678396	0.852729885057	0.897203325775
7	872.9246521	6113.13567212	0.937082001987	0.942295008538	0.866861741039	0.895691609977
8	982.280538082	5647.42237615	0.941390214399	0.943816802441	0.846153846154	0.939531368103
9	1095.1251471	5076.88320684	0.940059007859	0.947589933093	0.89140625	0.862433862434
10	1220.75378609	4878.92895477	0.945743248581	0.950217519106	0.880174291939	0.916099773243
11	1352.37862802	4698.89062362	0.948433395131	0.952288569749	0.865184155664	0.9410430839
12	1470.01867294	4532.05815923	0.949399304254	0.955033173763	0.875447387258	0.924414210128
13	1579.02604389	4351.10117112	0.951952184137	0.953842277652	0.864231564438	0.947845804989
14	1688.49714398	4238.0680536	0.952567082781	0.956358164665	0.872459705676	0.9410430839
15	1798.83842611	4078.11886831	0.951395553793	0.958234651885	0.896423248882	0.909297052154
16	1917.00252891	3975.41974421	0.954051243608	0.960063268106	0.888081395349	0.92365835223
17	2040.68007398	3842.59004758	0.956175235188	0.959366199155	0.88458781362	0.932728647014
18	2148.96904302	3728.19901109	0.956790133832	0.960803448952	0.88256227758	0.937263794407
19	2257.8761251	3521.37766642	0.957502519824	0.960030794211	0.871866295265	0.946334089191
20	2367.27860904	3455.02435572	0.95763418377	0.962266173959	0.887535816619	0.936507936508
21	2474.08192611	3397.00332987	0.957746798465	0.960274068475	0.872060857538	0.95313681028
22	2582.47902703	3340.58108932	0.957550142953	0.959302931049	0.862985685072	0.956916099773
23	2694.72445011	3300.25399116	0.957718224587	0.963426555808	0.898379970545	0.922146636432
24	2812.99933004	3253.24195464	0.95760504962	0.963618879651	0.903874813711	0.916855631141
25	2934.63894391	3211.49058884	0.95996491576	0.963839198231	0.881978798587	0.943310657596
26	3063.99871111	3157.42801598	0.95921050936	0.963440553176	0.889928057554	0.934996220711
27	3180.94875693	3121.71978097	0.960760222025	0.963959855547	0.881735479356	0.952380952381
28	3297.81352997	3085.63994472	0.960866953862	0.964346742812	0.881486676017	0.950113378685
29	3411.88842702	2990.40724652	0.960807284882	0.964705355393	0.88573456352	0.943310657596
30	3521.46070409	2965.58011793	0.960567768554	0.964731950393	0.889605734767	0.938019652305
31	3627.52219105	2946.27031265	0.960805884202	0.965142353238	0.888888888889	0.937263794407
32	3734.60255003	2924.72519839	0.960856868964	0.965303322975	0.889526542324	0.937263794407
33	3839.98315811	2903.67112143	0.961016546516	0.965984714874	0.896	0.931216931217
34	3952.24454403	2875.04814722	0.961524993459	0.964811175499	0.880055788006	0.953892668178
